# cycle i_ni i_router o_ni o_router vnet flit
97 10 10 44 20 0 8
97 10 10 43 19 1 8
97 19 19 40 16 0 8
97 16 16 26 2 0 8
97 16 16 37 13 1 8
97 16 16 25 1 1 8
97 20 20 40 16 0 8
97 2 2 40 16 0 8
97 13 13 35 11 0 8
97 11 11 32 8 0 8
97 8 8 39 15 0 8
97 8 8 31 7 1 8
97 8 8 30 6 1 8
97 1 1 32 8 0 8
97 15 15 32 8 0 8
97 7 7 38 14 0 8
97 14 14 28 4 0 8
97 14 14 24 0 1 8
97 6 6 38 14 0 8
97 4 4 24 0 0 8
105 12 12 27 3 0 8
105 3 3 33 9 0 8
105 3 3 41 17 1 8
105 9 9 41 17 0 8
105 17 17 29 5 0 8
105 17 17 34 10 1 8
105 5 5 34 10 0 8
105 10 10 44 20 0 8
105 10 10 43 19 1 8
105 19 19 40 16 0 8
105 16 16 26 2 0 8
105 16 16 37 13 1 8
105 16 16 25 1 1 8
105 20 20 40 16 0 8
105 2 2 40 16 0 8
105 13 13 35 11 0 8
105 11 11 32 8 0 8
105 8 8 39 15 0 8
105 8 8 31 7 1 8
105 8 8 30 6 1 8
105 1 1 32 8 0 8
105 15 15 32 8 0 8
105 7 7 38 14 0 8
105 14 14 28 4 0 8
105 14 14 24 0 1 8
105 6 6 38 14 0 8
105 4 4 24 0 0 8
113 12 12 27 3 0 8
113 3 3 33 9 0 8
113 3 3 41 17 1 8
113 9 9 41 17 0 8
113 17 17 29 5 0 8
113 17 17 34 10 1 8
113 5 5 34 10 0 8
113 10 10 44 20 0 8
113 10 10 43 19 1 8
113 19 19 40 16 0 8
113 16 16 26 2 0 8
113 16 16 37 13 1 8
113 16 16 25 1 1 8
113 20 20 40 16 0 8
113 2 2 40 16 0 8
113 13 13 35 11 0 8
113 11 11 32 8 0 8
113 8 8 39 15 0 8
113 8 8 31 7 1 8
113 8 8 30 6 1 8
113 1 1 32 8 0 8
113 15 15 32 8 0 8
113 7 7 38 14 0 8
113 14 14 28 4 0 8
113 14 14 24 0 1 8
113 6 6 38 14 0 8
113 4 4 24 0 0 8
121 12 12 27 3 0 8
121 3 3 33 9 0 8
121 3 3 41 17 1 8
121 9 9 41 17 0 8
121 17 17 29 5 0 8
121 17 17 34 10 1 8
121 5 5 34 10 0 8
121 10 10 44 20 0 8
121 10 10 43 19 1 8
121 19 19 40 16 0 8
121 16 16 26 2 0 8
121 16 16 37 13 1 8
121 16 16 25 1 1 8
121 20 20 40 16 0 8
121 2 2 40 16 0 8
121 13 13 35 11 0 8
121 11 11 32 8 0 8
121 8 8 39 15 0 8
121 8 8 31 7 1 8
121 8 8 30 6 1 8
121 1 1 32 8 0 8
121 15 15 32 8 0 8
121 7 7 38 14 0 8
121 14 14 28 4 0 8
121 14 14 24 0 1 8
121 6 6 38 14 0 8
121 4 4 24 0 0 8
129 12 12 27 3 0 8
129 3 3 33 9 0 8
129 3 3 41 17 1 8
129 9 9 41 17 0 8
129 17 17 29 5 0 8
129 17 17 34 10 1 8
129 5 5 34 10 0 8
129 10 10 44 20 0 8
129 10 10 43 19 1 8
129 19 19 40 16 0 8
129 16 16 26 2 0 8
129 16 16 37 13 1 8
129 16 16 25 1 1 8
129 20 20 40 16 0 8
129 2 2 40 16 0 8
129 13 13 35 11 0 8
129 11 11 32 8 0 8
129 8 8 39 15 0 8
129 8 8 31 7 1 8
129 8 8 30 6 1 8
129 1 1 32 8 0 8
129 15 15 32 8 0 8
129 7 7 38 14 0 8
129 14 14 28 4 0 8
129 14 14 24 0 1 8
129 6 6 38 14 0 8
