# cycle i_ni i_router o_ni o_router vnet flit
97 0 0 24 6 0 8
97 6 6 23 5 0 8
97 6 6 34 16 1 8
97 16 16 23 5 0 8
97 5 5 27 9 0 8
97 9 9 20 2 0 8
97 9 9 32 14 1 8
97 14 14 20 2 0 8
97 2 2 35 17 0 8
97 2 2 26 8 1 8
97 17 17 20 2 0 8
97 8 8 33 15 0 8
97 8 8 30 12 1 8
97 12 12 33 15 0 8
97 15 15 19 1 0 8
97 15 15 19 1 1 8
97 1 1 25 7 0 8
97 7 7 28 10 0 8
97 7 7 28 10 1 8
97 10 10 21 3 0 8
97 10 10 29 11 1 8
97 3 3 29 11 0 8
105 13 13 18 0 0 8
105 13 13 24 6 1 8
105 0 0 24 6 0 8
105 6 6 23 5 0 8
105 6 6 34 16 1 8
105 16 16 23 5 0 8
105 5 5 27 9 0 8
105 9 9 20 2 0 8
105 9 9 32 14 1 8
105 14 14 20 2 0 8
105 2 2 35 17 0 8
105 2 2 26 8 1 8
105 17 17 20 2 0 8
105 8 8 33 15 0 8
105 8 8 30 12 1 8
105 12 12 33 15 0 8
105 15 15 19 1 0 8
105 15 15 19 1 1 8
105 1 1 25 7 0 8
105 7 7 28 10 0 8
105 7 7 28 10 1 8
105 10 10 21 3 0 8
105 10 10 29 11 1 8
105 3 3 29 11 0 8
113 13 13 18 0 0 8
113 13 13 24 6 1 8
113 0 0 24 6 0 8
113 6 6 23 5 0 8
113 6 6 34 16 1 8
113 16 16 23 5 0 8
113 5 5 27 9 0 8
113 9 9 20 2 0 8
113 9 9 32 14 1 8
113 14 14 20 2 0 8
113 2 2 35 17 0 8
113 2 2 26 8 1 8
113 17 17 20 2 0 8
113 8 8 33 15 0 8
113 8 8 30 12 1 8
113 12 12 33 15 0 8
113 15 15 19 1 0 8
113 15 15 19 1 1 8
113 1 1 25 7 0 8
113 7 7 28 10 0 8
113 7 7 28 10 1 8
113 10 10 21 3 0 8
113 10 10 29 11 1 8
113 3 3 29 11 0 8
121 13 13 18 0 0 8
121 13 13 24 6 1 8
121 0 0 24 6 0 8
121 6 6 23 5 0 8
121 6 6 34 16 1 8
121 16 16 23 5 0 8
121 5 5 27 9 0 8
121 9 9 20 2 0 8
121 9 9 32 14 1 8
121 14 14 20 2 0 8
121 2 2 35 17 0 8
121 2 2 26 8 1 8
121 17 17 20 2 0 8
121 8 8 33 15 0 8
121 8 8 30 12 1 8
121 12 12 33 15 0 8
121 15 15 19 1 0 8
121 15 15 19 1 1 8
121 1 1 25 7 0 8
121 7 7 28 10 0 8
121 7 7 28 10 1 8
121 10 10 21 3 0 8
121 10 10 29 11 1 8
121 3 3 29 11 0 8
129 13 13 18 0 0 8
129 13 13 24 6 1 8
129 0 0 24 6 0 8
129 6 6 23 5 0 8
129 6 6 34 16 1 8
129 16 16 23 5 0 8
129 5 5 27 9 0 8
129 9 9 20 2 0 8
129 9 9 32 14 1 8
129 14 14 20 2 0 8
129 2 2 35 17 0 8
129 2 2 26 8 1 8
